latitude,longitude,year,month,country,basisOfRecord,latitude_moved,longitude_moved,dist_moved
44.64203,-1.23974,2021,4,France,HUMAN_OBSERVATION,44.65,-1.34999999999999,8.78
44.64203,-1.23974,2021,11,France,HUMAN_OBSERVATION,44.65,-1.34999999999999,8.78
44.64203,-1.23974,2020,9,France,HUMAN_OBSERVATION,44.65,-1.34999999999999,8.78
44.67726,-1.14991,2019,7,France,HUMAN_OBSERVATION,44.75,-1.14999999999998,8.1
44.69716,-1.22856,2018,7,France,HUMAN_OBSERVATION,44.75,-1.25,6.12
44.754057,12.24729,2023,11,Italy,HUMAN_OBSERVATION,44.75,12.35,8.13
44.754057,12.24729,2023,11,Italy,HUMAN_OBSERVATION,44.75,12.35,8.13
44.796782,12.269766,2021,12,Italy,HUMAN_OBSERVATION,44.75,12.35,8.21
44.816873,13.898281,2021,3,Croatia,HUMAN_OBSERVATION,44.75,13.85,8.36
45.55735,-1.09781,2021,10,France,HUMAN_OBSERVATION,45.55735,-1.09781,0
46.12689,1.18253,2013,4,France,HUMAN_OBSERVATION,46.12689,1.18253,0
47.26973,-2.35163,2022,12,France,HUMAN_OBSERVATION,47.26973,-2.35163,0
47.70109,-3.43042,2014,8,France,HUMAN_OBSERVATION,47.65,-3.44999999999999,5.87
48.56514,-4.59284,2022,4,France,HUMAN_OBSERVATION,48.65,-4.54999999999998,9.96
48.65251,-2.03204,2021,7,France,HUMAN_OBSERVATION,48.65251,-2.03204,0
49.48892,0.11775,2017,1,France,HUMAN_OBSERVATION,49.48892,0.11775,0
49.68508,-1.67374,2015,10,France,HUMAN_OBSERVATION,49.75,-1.64999999999998,7.43
50.357161,-4.145511,1948,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.357161,-4.145511,0
50.357161,-4.145511,1948,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.357161,-4.145511,0
50.358933,-4.121266,2011,3,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.358933,-4.121266,0
50.358933,-4.121266,2011,3,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.358933,-4.121266,0
50.363742,-4.14137,1974,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.363742,-4.14137,0
50.363742,-4.14137,1974,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.363742,-4.14137,0
50.363742,-4.14137,1956,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.363742,-4.14137,0
50.363742,-4.14137,1956,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.363742,-4.14137,0
50.365556,-4.110555,1956,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.365556,-4.110555,0
50.365556,-4.110555,1956,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.365556,-4.110555,0
50.365556,-4.110555,1955,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.365556,-4.110555,0
50.365556,-4.110555,1955,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.365556,-4.110555,0
50.369445,-4.132758,2010,2,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.369445,-4.132758,0
50.369445,-4.132758,2010,2,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.369445,-4.132758,0
50.369445,-4.132758,2010,11,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.369445,-4.132758,0
50.369445,-4.132758,2010,11,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.369445,-4.132758,0
50.606696,-2.450041,2014,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION,50.55,-2.54999999999998,9.47
50.79107,-1.106293,1958,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.79107,-1.106293,0
50.791236,0.324752,2021,7,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION,50.791236,0.324752,0
50.794717,0.330601,2014,8,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION,50.794717,0.330601,0
50.795519,-0.923023,1958,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.795519,-0.923023,0
50.815046,-1.018124,1958,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.75,-1.04999999999998,7.58
50.829998,-0.243609,1937,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.75,-0.25,8.92
50.832727,-0.281347,1947,1,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.75,-0.25,9.47
50.832727,-0.281347,1947,7,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.75,-0.25,9.47
50.841484,-1.097376,2014,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION,50.75,-1.04999999999998,10.72
50.874004,-1.399476,2014,9,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION,50.874004,-1.399476,0
50.895028,-1.408127,1976,6,United Kingdom of Great Britain and Northern Ireland,MATERIAL_SAMPLE,50.85,-1.34999999999999,6.47
51.054636,-4.19084,,,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION,51.05,-4.25,4.17
51.058968,-4.199608,,,United Kingdom of Great Britain and Northern Ireland,HUMAN_OBSERVATION,51.05,-4.25,3.66
